# Farside Investors「Ethereum ETF Flow – All Data (US$m)」を 2026-09-22 にコピーしたもの
# 形式: 日付|ETHA,ETHB,FETH,ETHW,TETH,ETHV,QETH,EZET,MSSE,ETHE,ETH,Total
# 括弧はマイナス、「-」は値なし
23 Jul 2024|266.5,-,71.3,204.0,7.5,7.6,5.5,13.2,-,(484.1),15.1,106.6
24 Jul 2024|17.4,-,74.5,29.6,0.0,19.8,2.5,3.9,-,(326.9),45.9,(133.3)
25 Jul 2024|70.9,-,34.3,16.3,0.0,8.0,6.2,0.0,-,(346.2),58.1,(152.4)
26 Jul 2024|87.2,-,39.3,16.0,0.0,0.0,0.0,6.2,-,(356.3),44.9,(162.7)
29 Jul 2024|58.2,-,24.8,10.4,0.0,10.9,0.0,2.5,-,(210.0),4.9,(98.3)
30 Jul 2024|118.0,-,16.4,3.5,0.0,0.0,0.0,3.7,-,(120.3),12.4,33.7
31 Jul 2024|5.0,-,18.8,4.7,3.3,4.8,0.0,0.0,-,(133.3),19.5,(77.2)
01 Aug 2024|89.6,-,11.7,3.4,0.0,0.0,0.0,0.0,-,(78.0),0.0,26.7
02 Aug 2024|0.0,-,6.0,0.0,0.0,0.0,0.0,1.1,-,(61.4),0.0,(54.3)
05 Aug 2024|47.1,-,16.2,7.2,0.0,16.6,0.0,0.9,-,(46.8),7.6,48.8
06 Aug 2024|109.9,-,22.5,0.0,0.0,0.0,0.0,1.0,-,(39.7),4.7,98.4
07 Aug 2024|0.0,-,4.7,1.7,0.0,0.0,0.0,1.8,-,(31.9),0.0,(23.7)
08 Aug 2024|11.7,-,(2.6),2.8,0.0,0.0,0.0,0.0,-,(19.8),5.0,(2.9)
09 Aug 2024|19.6,-,3.9,0.0,0.0,0.0,0.0,0.0,-,(41.7),2.4,(15.8)
12 Aug 2024|0.0,-,4.0,2.9,0.0,(2.9),0.0,1.0,-,0.0,0.0,5.0
13 Aug 2024|49.1,-,5.4,0.0,0.0,0.0,0.8,0.0,-,(31.0),0.0,24.3
14 Aug 2024|16.1,-,6.6,2.7,0.0,0.0,0.0,0.0,-,(16.9),2.3,10.8
15 Aug 2024|0.8,-,2.5,0.0,0.0,0.0,0.0,0.0,-,(42.5),0.0,(39.2)
16 Aug 2024|10.3,-,7.2,0.0,0.0,(4.8),0.0,0.0,-,(27.7),0.0,(15.0)
19 Aug 2024|0.0,-,0.0,1.9,0.0,0.0,0.0,0.0,-,(20.3),4.9,(13.5)
20 Aug 2024|26.8,-,0.0,3.7,0.0,0.0,0.0,0.0,-,(37.0),0.0,(6.5)
21 Aug 2024|0.0,-,7.9,0.0,0.0,0.0,0.0,1.0,-,(31.1),4.2,(18.0)
22 Aug 2024|0.0,-,14.3,0.0,0.0,1.0,0.0,0.0,-,(19.8),3.7,(0.8)
23 Aug 2024|0.0,-,0.7,1.4,0.0,2.0,0.0,0.0,-,(9.8),0.0,(5.7)
26 Aug 2024|0.0,-,(2.7),0.0,0.0,0.0,0.0,(1.0),-,(9.5),0.0,(13.2)
27 Aug 2024|0.0,-,3.9,1.9,0.0,0.0,0.0,0.0,-,(9.2),0.0,(3.4)
28 Aug 2024|8.4,-,1.3,0.0,0.0,0.0,0.0,0.0,-,(3.8),0.0,5.9
29 Aug 2024|0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,-,(5.3),3.6,(1.7)
30 Aug 2024|0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
02 Sep 2024|-,-,-,-,-,-,-,-,-,-,-,0.0
03 Sep 2024|0.0,-,4.9,0.0,0.0,0.0,0.0,0.0,-,(52.3),0.0,(47.4)
04 Sep 2024|0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,-,(40.6),3.1,(37.5)
05 Sep 2024|0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,-,(7.4),7.2,(0.2)
06 Sep 2024|4.7,-,0.0,0.0,0.0,0.0,0.0,0.0,-,(10.7),0.0,(6.0)
09 Sep 2024|0.0,-,7.6,1.8,0.0,0.0,0.0,0.0,-,(22.6),8.0,(5.2)
10 Sep 2024|4.3,-,7.1,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,11.4
11 Sep 2024|0.0,-,1.2,0.0,0.0,(1.7),0.0,0.0,-,0.0,0.0,(0.5)
12 Sep 2024|0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,-,(20.1),0.0,(20.1)
13 Sep 2024|3.7,-,0.0,5.2,0.0,0.0,0.0,0.0,-,(7.4),0.0,1.5
16 Sep 2024|4.2,-,0.0,(2.1),0.0,0.0,0.0,0.0,-,(13.8),2.3,(9.4)
17 Sep 2024|0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,-,(17.9),2.8,(15.1)
18 Sep 2024|4.9,-,0.0,0.0,0.0,0.0,0.0,0.0,-,(14.7),0.0,(9.8)
19 Sep 2024|5.2,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,5.2
20 Sep 2024|0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,2.9,2.9
23 Sep 2024|0.0,-,0.0,1.3,0.0,0.0,0.0,0.0,-,(80.6),0.0,(79.3)
24 Sep 2024|59.3,-,0.0,0.0,0.0,1.9,1.3,0.0,-,0.0,0.0,62.5
25 Sep 2024|9.4,-,6.4,0.0,0.8,0.0,0.0,0.0,-,0.0,26.6,43.2
26 Sep 2024|15.3,-,15.9,1.0,0.7,1.0,2.0,0.0,-,(36.0),0.0,(0.1)
27 Sep 2024|11.5,-,42.5,5.4,1.4,2.0,4.3,0.0,-,(10.7),2.3,58.7
30 Sep 2024|11.0,-,0.0,0.0,0.0,0.0,0.0,0.0,-,(11.8),0.0,(0.8)
01 Oct 2024|0.0,-,(25.0),(0.9),1.2,2.7,0.0,0.0,-,(26.6),0.0,(48.6)
02 Oct 2024|18.0,-,0.0,0.0,0.0,0.0,0.0,1.8,-,(5.4),0.0,14.4
03 Oct 2024|12.1,-,(0.6),0.0,0.0,0.0,0.0,0.0,-,(14.7),0.0,(3.2)
04 Oct 2024|14.7,-,0.0,0.9,0.0,0.0,0.0,0.0,-,(8.2),0.0,7.4
07 Oct 2024|0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
08 Oct 2024|0.0,-,(3.6),(4.5),0.0,0.0,0.0,0.0,-,0.0,0.0,(8.1)
